profile_id,username,email,password,isAdmin
1,playerOne,one@example.com,pass123,false
2,gamerGirl,gg@example.com,secure456,false
3,cozyCorner,cozy@example.com,password1,false
4,speedRunX,speed@example.com,sprint999,true
5,hdHunter,hdhunter@example.com,4k4life,false
6,retroFan,retro@example.com,oldschool,false
7,esportGuy,esport@example.com,proGAM3R,true
8,coopQueen,coop@example.com,funtime,false
9,brainiac,brain@example.com,puzzleme,false
10,jrpgfan,jrpg@example.com,summon99,false
11,proPlayer,pro@example.com,winbig,false
12,mobileMon,mobile@example.com,tapfast,false
13,snesKing,snes@example.com,bit16rulez,false
14,newbie123,newb@example.com,learning,false
15,sandboxer,sandbox@example.com,buildit,false
16,varietyVids,streamer@example.com,twitchgod,true
17,casualCat,casual@example.com,relaxman,false
18,zeldaMaster,zelda@example.com,ocarina7,false
19,visualNerd,vn@example.com,read4days,false
20,partyRock,party@example.com,letsgo,false
